[19:45:03] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1827, y=107, z=342} jb{x=-1829, y=106, z=342}
[19:45:06] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1825, y=104, z=337} jb{x=-1826, y=104, z=337}
[19:45:06] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1825, y=104, z=337} jb{x=-1826, y=104, z=337}
[19:45:06] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1825, y=104, z=337} jb{x=-1826, y=104, z=337}
[19:45:15] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1831, y=108, z=334} jb{x=-1831, y=108, z=336}
[19:45:15] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1830, y=107, z=335} jb{x=-1830, y=106, z=335}
[19:45:15] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1830, y=107, z=335} jb{x=-1830, y=106, z=335}
[19:45:15] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1830, y=107, z=335} jb{x=-1830, y=106, z=335}
[19:45:27] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1833, y=108, z=330} jb{x=-1832, y=108, z=332}
[19:45:38] [Server thread/WARN]: VICTOR moved wrongly!
[19:45:40] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1790, y=86, z=369} jb{x=-1790, y=85, z=366}
[19:45:56] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1854, y=108, z=326} jb{x=-1853, y=106, z=327}
[19:46:01] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1846, y=106, z=328} jb{x=-1845, y=105, z=329}
[19:46:33] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1872, y=106, z=329} jb{x=-1872, y=106, z=328}
[19:46:33] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1872, y=106, z=329} jb{x=-1872, y=106, z=328}
[19:46:39] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=107, z=333} jb{x=-1870, y=107, z=334}
[19:46:39] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=107, z=333} jb{x=-1870, y=107, z=334}
[19:46:39] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=107, z=333} jb{x=-1870, y=107, z=334}
[19:46:39] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=107, z=333} jb{x=-1870, y=107, z=334}
[19:46:39] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=107, z=333} jb{x=-1870, y=107, z=334}
[19:46:45] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1874, y=105, z=337} jb{x=-1875, y=106, z=335}
[19:46:47] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1873, y=103, z=339} jb{x=-1872, y=103, z=339}
[19:46:56] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1877, y=105, z=337} jb{x=-1878, y=102, z=339}
[19:47:06] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1824, y=100, z=353} jb{x=-1824, y=99, z=354}
[19:47:10] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1882, y=98, z=337} jb{x=-1882, y=98, z=334}
[19:47:12] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1879, y=97, z=331} jb{x=-1879, y=97, z=332}
[19:47:23] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=101, z=319} jb{x=-1869, y=99, z=319}
[19:47:23] [Server thread/WARN]: Mismatch in destroy block pos: jb{x=-1869, y=101, z=319} jb{x=-1869, y=99, z=319}
